Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000 ","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy prenatal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly financed prenatal care, 2005-2008","% teen births, 2005-2008",,
Boston,"558,435","131,435","59,950","$23,353 ","207,584",37.15,84.21,11.6,192,6.13,9.37,3.89,46.09,7.42,,
Bourne,"19,355","4,333","3,330","$22,092 ","3,747",21.14,83.18,13.63,2,2.53,6.75,5.06,32.9,5.44,,
Boxborough,"5,032","1,561",240,"$40,794 ",318,6.53,85.87,14.05,1,NA,5.95,7.57,10.44,NA,,
Boxford,"8,162","2,648",746,"$48,846 ",246,3.11,91.48,24.78,0,0,4.8,5.19,2.64,NA,,
Boylston,"4,253","1,021",486,"$32,274 ",370,9.24,82.81,13.54,0,0,10.42,14.06,3.66,NA,,
Braintree,"33,658","8,146","6,035","$28,683 ","3,427",10.38,90.65,16.14,7,4.41,6.93,4.85,18.2,2.14,,
Brewster,"10,242","2,122","2,746","$24,638 ","1,624",16.84,84.13,14.29,2,NA,5.13,6.57,25.27,3.65,,
Bridgewater,"25,769","6,628","2,205","$23,105 ","2,511",11.91,87.09,20.08,3,3.16,7.18,5.49,17.38,3.59,,
Brimfield,"3,627","1,008",389,"$23,711 ",540,16.31,89.06,15.63,1,NA,6.25,4.69,16.67,NA,,
Brockton,"100,366","30,230","10,696","$17,163 ","30,831",33.36,74.22,15.64,49,7.88,10.48,3.83,61.6,10.27,,
Brookfield,"3,096",826,392,"$20,144 ",618,20.32,82.01,12.23,1,NA,6.47,4.32,28.26,10.07,,
Brookline,"56,422","10,569","6,963","$44,327 ","10,042",18.01,91.13,12.5,6,2.27,7.09,5.65,5.1,0.53,,
Buckland,"1,995",489,258,"$20,033 ",354,17.72,92,NA,0,0,NA,NA,30,NA,,
Burlington,"23,265","5,768","3,102","$30,732 ","1,522",6.66,85.87,15,5,4.51,6.88,5.05,8.88,0.99,,
Cambridge,"101,529","19,401","9,420","$31,156 ","24,246",27.77,86.54,8.91,13,2.83,6.9,4.31,17.33,2.18,,
Canton,"21,481","5,395","3,599","$33,510 ","2,157",10.62,86.63,15.67,4,4.41,6.62,5.62,10.98,0.88,,
Carlisle,"4,823","1,477",394,"$59,559 ",440,9.34,78.81,14.29,0,0,10.92,8.26,NA,0,,
Carver,"11,552","3,209","1,756","$20,398 ","1,877",16.9,89.14,16.7,2,NA,6.47,3.34,24.16,5.85,,
Charlemont,"1,387",336,150,"$19,577 ",378,27.41,82.93,12.2,0,0,NA,0,53.66,NA,,
Charlton,"12,447","3,802",950,"$23,626 ","1,436",12.99,82.14,13.61,1,1.74,6.11,5.22,18.69,3.83,,
Chatham,"6,833",895,"2,351","$28,594 ","1,255",19.55,89.58,11.11,0,0,8.33,4.17,20.28,NA,,
Chelmsford,"33,728","8,787","4,398","$30,465 ","2,592",7.78,83.59,15.48,6,4.34,7.4,5.5,9.6,1.88,,
Chelsea,"34,128","10,060","3,598","$14,628 ","16,196",47.65,79.91,10.39,15,5.27,8.66,2.6,74.06,12.12,,
Cheshire,"3,356",787,476,"$19,156 ",767,22.72,80.99,14.05,0,0,8.26,NA,36.67,5.74,,
Chester,"1,320",341,144,"$18,098 ",280,21.54,76.92,17.95,0,0,NA,NA,33.33,NA,,
Chesterfield,"1,271",314,126,"$19,220 ",270,22.58,90,NA,0,0,0,0,27.5,0,,
Chicopee,"54,599","12,948","9,174","$18,646 ","16,140",29.92,80.63,12.21,6,2.44,7.37,3.05,50.66,10.82,,
Chilmark,944,174,177,"$30,029 ",125,15.13,93.94,NA,0,0,0,NA,24.24,0,,
Clarksburg,"1,663",383,271,"$19,389 ",334,19.87,94.34,15.09,0,0,15.09,NA,30.19,NA,,
Clinton,"13,997","3,345","1,980","$22,764 ","2,954",22.25,83.56,10.57,1,1.22,6.32,4.74,30.73,6.68,,
Cohasset,"7,219","2,061","1,092","$42,909 ",591,8.22,92.64,25.08,0,0,6.35,8.7,3.38,NA,,
Colrain,"1,858",490,221,"$18,948 ",406,22.63,79.31,13.79,0,0,NA,NA,31.03,10.34,,
Concord,"16,858","4,254","2,767","$51,477 ","1,214",7.79,87.32,22.43,0,0,6.09,4.9,4.72,NA,,
Conway,"1,902",448,173,"$25,605 ",229,12.67,91.8,9.84,0,0,NA,NA,13.11,NA,,
Cummington,986,281,111,"$21,553 ",201,22.61,78.57,0,0,0,0,0,NA,0,,
Dalton,"6,697","1,725","1,126","$23,634 ","1,280",18.99,74.77,16.28,0,0,11.16,5.58,28.97,7.91,,
Danvers,"25,999","6,290","4,439","$26,852 ","2,487",10.27,90.89,15.45,2,2.13,6.3,5.01,15.15,2.02,,
Dartmouth,"31,371","7,554","4,672","$24,326 ","4,548",16.61,83.35,15.46,11,11.79,9.42,5.89,26.75,4.5,,
Dedham,"23,681","5,632","3,901","$28,199 ","2,845",12.58,85.83,17.72,1,0.93,7.18,5.96,16.14,2.61,,
Deerfield,"4,786","1,000",626,"$24,555 ",817,17.2,91.72,13.84,1,NA,7.55,3.73,17.72,3.73,,
Dennis,"15,914","2,687","4,461","$25,428 ","3,376",21.21,82.2,12.2,2,3.98,7.2,2.78,49.39,7.95,,
Dighton,"6,648","1,767",830,"$22,600 ",542,8.89,81.37,18.91,1,NA,5.38,5.73,20.47,3.58,,
Douglas,"7,861","2,409",596,"$23,036 ",891,12.69,87.88,12.04,1,NA,4.39,4.62,16.63,2.77,,
Dover,"5,634","1,802",612,"$64,899 ",344,6.2,90.6,17.33,0,0,8.67,14.57,NA,0,,
Dracut,"28,805","7,924","3,362","$23,750 ","3,345",11.72,81.84,16.59,4,2.7,6.55,4.11,20.52,3.57,,
Dudley,"10,787","2,916","1,310","$21,546 ","1,891",19.72,84.49,14.96,3,NA,6.18,4.51,20.44,4.75,,
Dunstable,"3,142","1,006",214,"$30,608 ",220,7.8,82.65,19.39,0,0,5.1,8.16,9.86,NA,,
Duxbury,"14,655","4,265","1,805","$40,242 ",768,5.45,92.05,22.38,1,NA,4.18,3.97,6.53,2.3,,
East Bridgewater,"13,832","3,891","1,440","$23,532 ","1,853",14.45,89.77,16.47,2,3.36,7.21,5.54,16.81,3.36,,
East Brookfield,"2,111",550,269,"$22,629 ",337,16.17,85.29,18.63,0,0,9.8,7.84,15.69,10.78,,
East Longmeadow,"14,845","3,704","2,735","$27,659 ","1,606",11.59,87.96,17.5,1,1.96,6.29,6.29,11.92,1.77,,
Eastham,"5,550",974,"1,415","$24,642 ","1,144",21.13,84.73,10.69,0,0,7.63,NA,36.64,6.87,,
Easthampton,"15,994","3,263","2,285","$21,922 ","3,756",23.6,89.51,12.54,5,8.04,5.98,5.63,27.76,6.59,,
Easton,"22,995","6,367","2,068","$30,732 ","1,597",7.79,82.16,19.66,1,1.21,7,5.55,12.58,1.21,,
Edgartown,"3,934",851,488,"$25,740 ",690,18.54,89.66,10.8,1,NA,NA,NA,46.55,5.11,,
Egremont,"1,355",233,262,"$41,702 ",272,20.19,86.67,NA,0,0,NA,NA,40,NA,,
Erving,"1,542",338,204,"$19,107 ",309,21.22,84.85,7.58,0,0,NA,0,21.21,NA,,
Essex,"3,342",833,443,"$31,613 ",516,15.79,95.42,21.8,0,0,10.45,12.06,11.19,NA,,
Everett,"37,100","8,831","5,428","$19,845 ","10,637",28.21,81.96,14.22,11,4.35,7.84,2.45,64.15,6.32,,
Fairhaven,"16,223","3,580","3,106","$20,986 ","3,634",23.1,82.77,11.65,1,1.66,6.14,4.3,28.52,6.46,,
Fall River,"92,117","23,428","14,836","$16,118 ","35,716",39.63,85.4,13.78,40,8.2,8.94,3.65,65.08,12.59,,
Falmouth,"33,620","6,891","7,498","$27,548 ","6,073",18.85,83.41,15.36,4,3.61,8.82,4.7,34.96,5.6,,
Fitchburg,"40,514","11,417","5,428","$17,256 ","12,926",34.51,80.01,11.71,12,5.03,8.11,3.77,53.01,12.03,,
Florida,666,170,92,"$16,979 ",115,16.69,94.29,NA,0,0,0,NA,50,NA,,
Foxborough,"16,288","4,567","1,916","$32,294 ","1,574",9.77,83.46,19.03,2,3,9.15,6,11.73,1.95,,
Framingham,"65,651","15,394","8,489","$27,758 ","13,477",21.14,86.26,15.5,14,3.46,7.63,4.57,40.59,5.08,,
Franklin,"30,748","10,225","2,539","$27,849 ","2,614",9.04,85.09,18.81,4,2.65,7.11,7.3,6.86,1.19,,
Freetown,"8,963","2,293",769,"$24,237 ","1,180",14.02,85.85,15.31,4,NA,9.97,4.36,23.34,3.74,,
Gardner,"20,955","5,131","3,191","$18,624 ","5,007",25.86,82.24,10.81,13,12.44,7.46,2.87,47.39,11.39,,
Georgetown,"8,023","2,345",753,"$28,846 ",762,10.36,95.4,15.45,0,0,7.58,5.95,7.27,NA,,
Gill,"1,392",328,177,"$23,381 ",266,19.52,86.96,15.22,0,0,NA,NA,17.78,0,,
Gloucester,"30,671","7,075","4,708","$25,595 ","6,055",20.27,93.33,12.22,0,0,7.35,4.9,34.11,5.26,,
Goshen,956,203,103,"$22,221 ",146,16.19,96.67,20,0,0,NA,NA,NA,0,,
Gosnold,86,13,11,"$15,265 ",36,44.44,NA,0,0,0,0,0,NA,0,,
Grafton,"16,783","4,488","1,790","$26,952 ","2,261",15.41,85.53,16.24,2,1.96,6.65,6.06,8.49,1.76,,
Granby,"6,332","1,556",746,"$23,209 ",757,12.5,92.39,8.02,0,0,8.02,7.45,16.04,4.26,,
Granville,"1,644",459,169,"$22,315 ",228,15.13,81.4,NA,0,0,12.77,NA,27.03,NA,,
Great Barrington,"7,440","1,781","1,387","$22,655 ","1,719",25.03,79.71,12.68,0,0,4.23,4.69,47.55,6.1,,
Greenfield,"17,888","3,818","3,029","$18,830 ","5,937",34.06,84.72,12.47,4,5.34,8.17,5.87,48.18,9.48,,
Groton,"10,396","3,500",745,"$33,877 ",838,8.81,80.11,16.67,3,NA,7.22,4.42,7.18,NA,,
Groveland,"6,591","2,030",666,"$25,430 ",759,12.57,86.7,15.13,2,NA,5.88,5.81,7.73,NA,,
Hadley,"4,820",918,971,"$24,945 ",879,18.88,83.65,12.58,1,NA,8.81,6.29,23.27,3.77,,
Halifax,"7,805","2,021","1,027","$23,738 ","1,157",15.52,88.31,17.15,1,NA,7.44,10.36,15.86,5.18,,
Hamilton,"8,334","2,320",844,"$33,222 ",608,7.94,96.16,12.69,0,0,7.51,7.07,22.14,NA,,
Hampden,"5,312","1,409",684,"$26,690 ",600,11.86,95.5,14.78,0,0,11.02,5.08,13.16,NA,,
Hancock,"1,018",227,129,"$22,250 ",170,23.61,70.83,0,0,0,NA,0,25,NA,,
Hanover,"14,077","4,167","1,517","$30,268 ",921,7.01,92.28,17.57,1,1.93,5.79,6.76,7.36,1.16,,
Hanson,"9,915","2,823",877,"$23,727 ","1,137",12.04,89.83,14.89,1,NA,7.44,5.96,16.96,3.72,,
Hardwick,"2,655",778,347,"$20,824 ",581,22.33,82.69,15.38,1,NA,NA,7.69,27.88,6.73,,
Harvard,"6,116","1,545",428,"$40,867 ",252,4.81,79.84,20.97,0,0,4.84,4.84,6.45,NA,,
Harwich,"12,673","2,268","3,811","$23,063 ","2,301",19.09,87.27,14.25,2,NA,5.18,2.58,32.38,4.39,,
Hatfield,"3,280",658,548,"$24,813 ",400,12.33,94.57,12.9,0,0,NA,8.6,18.28,NA,,
Haverhill,"60,032","16,486","7,632","$23,280 ","12,578",21.82,85.73,14.65,20,5.65,8.25,4.61,33.4,7.38,,
Hawley,345,70,50,"$17,333 ",118,35.65,83.33,0,0,0,0,0,NA,NA,,
Heath,805,215,81,"$24,777 ",228,27.84,91.3,NA,0,0,NA,0,45.45,NA,,
Hingham,"21,470","5,830","3,085","$41,703 ","1,464",7.45,90.9,19.25,2,2.09,5.32,7.2,5.33,NA,,
Hinsdale,"1,811",463,201,"$19,797 ",419,22.42,64.41,11.86,0,0,8.47,NA,35.59,10.17,,
Holbrook,"10,765","2,691","1,700","$23,379 ","1,831",17.16,88.25,15,1,1.85,7.59,3.89,26.31,5.37,,
Holden,"16,571","4,564","2,250","$27,971 ","1,468",9.5,84.39,14.33,3,4.13,5.52,4.82,7.87,1.79,,
Holland,"2,529",708,211,"$21,770 ",499,20.9,86.05,8.05,1,NA,NA,NA,24.05,NA,,
Holliston,"13,830","4,265","1,225","$32,116 ","1,115",8.11,88.33,20.83,2,3.46,7.12,6.4,9.28,1.73,,
Holyoke,"41,089","12,549","5,938","$15,913 ","17,695",46.31,74.99,10.61,23,8.72,8.96,2.73,74.86,23.27,,
Hopedale,"6,234","1,664",935,"$24,791 ",586,10.15,89.16,18.4,1,NA,7.17,5.98,13.11,NA,,
Hopkinton,"14,048","4,743",995,"$41,469 ",969,7.32,88.74,16.26,1,1.52,5.17,5.93,4.13,1.37,,
Hubbardston,"4,340","1,375",290,"$23,072 ",402,10.37,83.52,8.99,0,0,7.87,5.62,9.55,NA,,
Hudson,"18,847","4,798","2,327","$26,679 ","2,263",12.54,84.45,14.59,5,5.14,8.03,4.32,21.91,3.29,,
Hull,"11,279","2,496","1,379","$26,331 ","1,965",17.84,86.52,13.17,3,NA,7.26,4.3,24.25,4.57,,
Huntington,"2,180",583,215,"$19,385 ",450,20.63,85.87,8.7,0,0,7.61,8.7,31.52,6.52,,
Ipswich,"13,285","3,122","2,053","$32,516 ","1,892",14.65,95.19,16.81,1,NA,8.94,4.38,14.44,2.5,,
Kingston,"12,435","3,412","1,762","$23,370 ","1,860",16.06,91.27,17.58,3,5.32,8.16,7.09,19.07,2.3,,
Lakeville,"10,618","2,946","1,246","$26,046 ",810,8.45,83.14,18.44,1,NA,12.44,9.86,19.95,5.4,,
Lancaster,"7,069","1,632",639,"$21,010 ",865,15.15,86.84,12.36,2,NA,7.12,5.99,16.85,4.49,,
Lanesborough,"2,951",717,382,"$21,106 ",557,18.63,84.52,7.14,0,0,NA,0,24.1,NA,,
Lawrence,"81,591","28,491","6,924","$13,360 ","36,405",51.46,71.42,15.33,35,6.12,8.72,3.01,72.19,16.58,,
Lee,"5,882","1,302",972,"$19,799 ","1,203",20.62,73.6,10.81,0,0,6.49,6.49,40.22,4.86,,
Leicester,"10,953","3,054","1,292","$20,822 ","1,372",13.64,81.07,9.09,1,NA,5.84,4.9,21.03,6.06,,
Lenox,"5,149","1,052","1,266","$23,263 ",972,19.85,77.34,13.64,0,0,4.55,NA,25,NA,,
Leominster,"42,120","11,063","5,353","$21,769 ","9,714",23.74,80.94,14.17,11,5.33,6.61,3.25,37.9,6.59,,
Leverett,"1,769",380,194,"$31,891 ",275,16.64,92.11,NA,0,0,0,NA,13.16,0,,
Lexington,"30,452","8,087","5,651","$46,119 ","2,075",6.98,88.34,15.91,3,3.67,6.49,4.9,4.44,0.86,,
Leyden,815,208,63,"$26,076 ",136,17.73,70.59,NA,0,0,NA,0,NA,NA,,
Lincoln,"7,935","2,491",875,"$49,095 ",562,7.11,82.82,14.11,1,NA,4.91,4.91,3.07,NA,,
Littleton,"8,561","2,398","1,035","$31,070 ","1,004",12.41,83.73,17.45,0,0,6.37,7.55,5.04,1.65,,
Longmeadow,"15,556","4,129","2,728","$38,949 ","1,150",7.56,88.84,16.16,0,0,6.75,7.92,4.46,NA,,
Lowell,"105,749","32,054","10,982","$17,557 ","35,538",34.95,68.82,12.95,45,6.35,8.87,2.92,54.87,11.6,,
Ludlow,"21,835","4,783","3,074","$20,105 ","2,955",15.17,85.41,12.64,4,5.52,7.59,4.69,26.11,5.24,,
Lunenburg,"10,008","2,643","1,141","$26,986 ","1,108",11.8,83.25,16.1,2,NA,4.68,4.15,16.05,3.89,,
Lynn,"92,186","27,770","10,590","$17,492 ","30,085",34.21,76.07,12.36,30,4.98,8.61,3.82,65.65,10.63,,
Lynnfield,"11,540","2,908","1,940","$39,560 ",638,5.53,91.84,21.32,4,NA,10.51,8.31,7.53,NA,,
Malden,"56,730","12,413","7,679","$22,004 ","12,785",22.9,83.25,13.45,25,7.1,8.95,3.84,43.7,3.61,,
Manchester by the Sea,"5,332","1,286",851,"$47,910 ",680,13.08,94.15,12.5,0,0,7.95,9.09,6.29,0,,
Mansfield,"22,933","7,075","1,422","$27,441 ","2,321",10.36,82.96,17.54,0,0,5.78,4.72,11.1,1.83,,
Marblehead,"20,285","4,869","3,127","$46,738 ","2,071",10.25,87.45,19.02,1,1.39,6.57,6.25,7.87,0.69,,
Marion,"5,316","1,294",961,"$37,265 ",731,14.55,87.9,15.82,0,0,9.88,6.79,15.38,NA,,
Marlborough,"37,163","9,114","4,380","$28,723 ","5,889",16.42,83.83,14.59,24,10.39,7.28,4.16,36.67,4.5,,
Marshfield,"24,879","6,819","2,416","$28,768 ","2,910",12,90.66,17.29,6,5.37,6.98,6.62,14.38,2.51,,
Mashpee,"14,159","3,388","2,584","$25,215 ","1,879",14.73,82.17,16.49,4,7.05,6.19,4.41,28.88,6.88,,
Mattapoisett,"6,477","1,510","1,097","$28,050 ",775,12.41,86.14,14.71,1,NA,5.81,NA,18.18,5.81,,
Maynard,"10,221","2,522","1,280","$27,016 ","1,574",15.14,81.96,13.69,0,0,7.88,5.95,14.65,2.25,,
Medfield,"12,328","4,232","1,123","$42,891 ",687,5.68,87.41,17.63,0,0,5.79,6.02,4.86,NA,,
Medford,"53,801","11,422","9,399","$24,707 ","10,013",18.68,85.46,11.56,10,3.81,7.71,5.25,27.99,2.25,,
Medway,"12,780","4,244","1,177","$27,578 ","1,079",8.75,89.81,14.89,0,0,6.68,4.77,11.75,1.91,,
Melrose,"26,366","6,084","4,427","$30,347 ","2,995",11.18,91.4,15.74,5,3.93,5.98,5.35,11.44,1.02,,
Mendon,"5,743","1,700",465,"$27,693 ",548,10.37,94.06,23.53,1,NA,8.33,8.29,7.29,NA,,
Merrimac,"6,350","1,905",697,"$24,869 ",559,9.17,90,18.72,2,NA,9.85,5.85,15.38,3.41,,
Methuen,"44,532","11,717","6,653","$22,305 ","7,947",18.33,82.23,17.22,7,3,7.39,3.56,30.24,5.79,,
Middleborough,"21,153","5,913","2,264","$20,246 ","3,401",17.52,82.39,18.08,4,3.64,7.56,3.55,31.67,7.38,,
Middlefield,549,126,52,"$24,137 ",146,25.17,81.25,NA,0,0,0,0,37.5,NA,,
Middleton,"9,077","2,206",852,"$29,031 ",576,9.07,89.47,17.13,1,NA,9.96,9.45,9.64,NA,,
Milford,"27,523","6,971","3,385","$23,742 ","5,056",19.1,86.81,18.11,3,1.8,8.69,4.85,36.26,4.07,,
Millbury,"13,443","3,185","2,072","$23,531 ","2,135",17.16,81.67,11.93,1,1.81,5.42,5.06,18.5,3.98,,
Millis,"7,949","2,243",735,"$27,957 ",726,9.27,86.7,18.35,1,NA,5.32,2.66,9.57,1.33,,
Millville,"2,938",948,228,"$20,497 ",435,16.18,94.2,19.73,1,NA,8.84,NA,27.5,7.48,,
Milton,"26,243","7,489","4,084","$37,138 ","2,025",8.09,92.02,18.17,5,4.3,7.39,6.79,9.32,1.2,,
Monroe,100,25,16,"$12,400 ",24,43.64,NA,0,0,0,0,0,NA,0,,
Monson,"8,744","2,267",923,"$22,519 ","1,646",20.4,83.09,16.96,0,0,3.15,3.5,31.54,5.59,,
Montague,"8,416","1,862","1,318","$17,794 ","2,556",30.56,84.22,8.35,3,NA,6.33,5.05,46.27,8.84,,
Monterey,959,170,151,"$30,992 ",200,21.79,95.83,NA,0,0,0,NA,43.48,NA,,
Montgomery,743,168,74,"$25,942 ",65,10.05,93.33,NA,0,0,NA,0,NA,NA,,
Mount Washington,135,21,21,"$50,149 ",27,20.15,NA,0,0,0,0,0,0,NA,,
Nahant,"3,591",672,695,"$41,807 ",339,9.49,80.46,15.91,0,0,NA,0,10.47,NA,,
Nantucket,"10,095","2,095","1,062","$31,314 ","1,628",17.22,84.35,11.14,1,1.5,4.97,1.8,39.85,2.56,,
Natick,"31,895","7,605","4,640","$36,358 ","2,789",8.8,85.52,13.37,8,4.57,6.57,6.17,6.47,0.8,,
Needham,"28,445","7,871","5,097","$44,549 ","1,749",6.24,88.42,18.5,4,3.19,4.78,4.55,3.91,0.48,,
New Ashford,247,61,23,"$28,323 ",21,9.05,NA,0,1,NA,NA,0,0,0,,
New Bedford,"94,502","24,834","14,602","$15,602 ","38,803",42.25,72.43,13.69,49,8.72,10.69,2.99,58.25,13.83,,
New Braintree,"1,090",334,88,"$21,072 ",123,13.38,80,14.29,0,0,NA,0,25.71,NA,,
New Marlborough,"1,522",388,216,"$25,658 ",314,22.35,72.22,13.51,0,0,NA,0,43.33,NA,,
New Salem,986,216,97,"$23,234 ",164,17.81,77.78,NA,0,0,NA,0,22.22,0,,
Newbury,"6,990","1,952",738,"$34,640 ",839,12.6,90.42,15.45,1,NA,8.54,11.29,9.87,2.02,,
Newburyport,"17,395","3,702","2,438","$34,187 ","2,417",14.28,91.46,13.47,1,1.32,7.93,6.46,10.76,4.74,,
Newton,"83,346","20,781","12,660","$45,708 ","7,489",9.55,87.57,14.65,10,3.01,7.83,6.35,7.19,0.57,,
Norfolk,"10,506","2,865",550,"$32,454 ",414,4.77,83.42,23.46,1,NA,7.39,7.62,5,NA,,
North Adams,"14,031","3,368","2,549","$16,381 ","5,490",39.43,88.92,11.67,3,4.59,9.34,4.43,64.86,13.3,,
North Andover,"27,137","7,670","3,652","$34,335 ","2,604",10.29,86.84,20.5,7,5.59,7.93,7.82,11.38,1.44,,
North Attleboro,"28,078","7,561","2,622","$25,974 ","3,799",14.08,84.1,17.09,1,0.7,7.01,5.8,15.51,2.24,,
North Brookfield,"4,812","1,336",591,"$20,205 ",785,17.12,79.26,10,0,0,6.84,7.33,32.09,7.85,,
North Reading,"13,930","4,000","1,459","$30,902 ",751,5.47,89.17,19.12,0,0,8.5,6.9,6.93,1.06,,
Northampton,"28,803","5,595","3,999","$24,022 ","6,149",24.08,84.56,10.41,4,4.67,6.22,3.97,28.54,4.32,,
Northborough,"14,652","4,253","1,346","$32,889 ","1,082",7.83,84.8,14.18,3,5.6,6.72,3.54,7.12,2.43,,
Northbridge,"14,184","3,969","1,925","$22,515 ","2,409",18.83,87.78,13.38,2,2.43,7.9,6.32,21.37,5.59,,
Northfield,"3,226",825,420,"$21,517 ",441,15.02,90,17,2,NA,10,8,26.8,5,,
Norton,"19,106","5,704","1,460","$23,876 ","1,953",11.81,80.75,17.64,0,0,7.6,6.13,14.44,2.57,,
Norwell,"10,382","2,907","1,344","$37,222 ",525,5.49,90.8,22.89,2,NA,6.45,8.93,6.95,NA,,
Norwood,"28,472","6,365","4,920","$27,720 ","3,498",12.46,77.42,16.68,11,7.35,8.22,4.34,21.33,3.01,,
Oak Bluffs,"3,794",842,564,"$23,829 ",981,26.42,91.15,16.74,0,0,4.85,3.52,46.26,2.2,,
Oakham,"1,892",570,141,"$23,175 ",170,10.2,81.25,7.81,0,0,7.81,NA,17.19,NA,,
Orange,"7,659","1,968","1,050","$17,361 ","2,144",28.68,79.66,15.71,0,0,7.43,3.39,50.43,10.73,,
